0.0
-1.0000006 -1.0000001 -1.0 -0.9999999 -0.99999976 -0.9999995 6.0000005
-3.3722835 -3.3722816 -3.3722813 -3.3722813 -2.6398983 -2.000001 -2.000001 -2.0000005 -1.9999989 -1.9999983 -0.0000011914542 -5.8028064e-7 -1.8230057e-8 7.9912905e-7 2.3722806 2.3722816 2.3722816 2.3722825 2.4817379 4.999999 9.158162
-3.0000014 -3.000001 -3.000001 -3.0000007 -3.0000007 -3.0000005 -3.0000005 -3.0000002 -3.0 -2.9999998 -2.9999998 -2.9999995 -2.9999993 -2.9999993 -6.925116e-7 -3.0558544e-7 -2.652011e-7 -2.2310536e-7 -2.2028297e-7 -2.0280844e-7 -3.450415e-8 1.8122844e-7 2.7018368e-7 4.911683e-7 5.1345586e-7 8.773713e-7 0.0000012994293 0.000001779964 4.999999 4.9999995 5.0 5.0 5.0000014 5.0000033 12.0
-4.0000005 -4.0000005 -4.0 -3.9999998 -3.9999988 -3.804512 -3.804511 -3.8045106 -3.8045104 -1.0000008 -1.0000007 -1.0000005 -1.0000004 -1.0000001 -1.0 -0.9999999 -0.9999997 -0.9999996 -0.99999946 -0.8872994 -0.13349369 -0.1334929 -0.13349243 -0.13349125 1.9999995 2.0000002 2.0000002 2.0000017 3.9380028 3.938003 3.938003 3.9380043 4.942855 6.9999976 10.944448
-2.000001 -2.000001 -2.0000007 -2.0000002 -2.0000002 -2.0 -2.0 -1.9999999 -1.9999999 -1.9999999 -1.9999998 -1.9999996 -1.9999995 -1.9999992 2.9999995 2.9999998 3.0000002 3.000001 3.0000012 3.000002 10.000001
-2.5311286 -1.0000005 -1.0000002 -1.0 -0.9999997 1.0 5.531129
0.0
-1.0000006 -1.0000001 -1.0 -0.9999999 -0.99999976 -0.9999995 6.0000005
-2.0000012 -2.000001 -2.0000007 -2.0000007 -2.0000007 -2.0000007 -2.0000005 -2.0000002 -2.0000002 -2.0000002 -2.0 -2.0 -2.0 -2.0 -2.0 -1.9999996 -1.9999995 -1.9999995 -1.9999994 -1.9999993 -1.9999993 -1.9999992 -1.9999989 -1.9999988 -1.9999988 -1.9999988 -1.9999987 -1.9999985 -1.9999981 -0.7015629 -0.70156276 -0.7015624 -0.7015624 -0.7015616 -0.7015613 -0.32455587 4.9999995 4.9999995 4.9999995 5.0 5.0 5.0000005 5.70156 5.701562 5.7015624 5.701563 5.7015634 5.701564 12.324556
-4.2970743 -4.2970724 -4.2970724 -4.2970715 -4.2970705 -4.2970667 -4.281454 -4.2814517 -4.281451 -4.28145 -4.281445 -4.016129 -4.016126 -4.0161257 -4.0161242 -3.7987807 -3.7987797 -3.798779 -3.7987773 -3.7870681 -3.7870674 -3.787067 -3.787066 -3.1716938 -3.0000029 -3.0000012 -3.000001 -3.000001 -3.000001 -3.0 -2.9999995 -2.9999993 -2.9999986 -2.999998 -2.999998 -2.9999976 -2.9999976 -2.999997 -2.9999964 -2.8523066 -2.8523064 -2.8523061 -2.8523045 -2.4308906 -2.3367498 -2.3367488 -2.3367481 -2.336748 -2.336746 -2.3182786 -1.7868031 -1.7868022 -1.7868019 -1.786801 -1.7868005 -1.7867992 -1.7543684 -1.7543677 -1.7543664 -1.7543662 -1.0000026 -1.0000013 -1.0000011 -1.000001 -1.000001 -1.0000005 -1.0000001 -0.99999875 -0.9999982 -0.9999977 -0.9999968 -0.42372632 -0.42372623 -0.42372608 -0.4237257 -0.030838622 -0.03083815 -0.030837575 -0.030837223 0.28489307 0.28489357 0.28489378 0.28489405 0.5130008 1.6734847 1.6734856 1.6734856 1.6734859 1.7432458 1.7432458 1.7432462 1.7432475 1.8413613 1.8413624 1.8413624 1.8413626 1.8413633 1.8643408 1.8643422 1.8643428 1.8643429 2.0838711 2.0838716 2.0838723 2.0838726 2.083873 2.0838733 2.1264813 2.517746 2.5177472 2.5177472 2.5177476 2.555518 2.6355166 3.4858253 3.485826 3.485826 3.485827 4.05619 4.4542065 4.4542093 4.4542103 4.4542108 4.776828 4.7768326 4.776834 4.7768354 4.7768373 4.87089 5.075898 6.7401524 6.7401524 6.740155 6.7401567 8.498903 8.528035 8.528044 8.528047 8.528049 8.696623 9.371257 9.371257 9.371262 9.37127 9.41476 11.682255 15.794838
